# Energy(eV)  DOS(1/eV)
-2.000000000000000000e+00 1.600896507376108602e+01
-1.959999999999999964e+00 1.498711148205227062e+01
-1.919999999999999929e+00 1.488268715477983761e+01
-1.879999999999999893e+00 1.504238584132775358e+01
-1.840000000000000080e+00 1.528048062807106788e+01
-1.800000000000000044e+00 1.575219706351863280e+01
-1.760000000000000009e+00 2.244008272701916340e+01
-1.719999999999999973e+00 1.917846958899320953e+01
-1.679999999999999938e+00 1.508292610570579839e+01
-1.640000000000000124e+00 1.453335720932861896e+01
-1.600000000000000089e+00 1.434019473307626491e+01
-1.560000000000000053e+00 1.434232572724826582e+01
-1.520000000000000018e+00 1.458489818685710659e+01
-1.479999999999999982e+00 1.561639293362226688e+01
-1.439999999999999947e+00 1.674365503056747571e+02
-1.399999999999999911e+00 1.598213438186925472e+01
-1.359999999999999876e+00 1.545643684957477859e+01
-1.319999999999999840e+00 1.539313865111639146e+01
-1.280000000000000027e+00 5.868172447755538457e+01
-1.239999999999999991e+00 1.489764207620023129e+01
-1.199999999999999956e+00 1.447769699128324028e+01
-1.160000000000000142e+00 1.508579207724542570e+01
-1.120000000000000107e+00 2.341978396726377909e+01
-1.080000000000000071e+00 2.078507130437254702e+01
-1.040000000000000036e+00 1.730064914386790775e+01
-1.000000000000000000e+00 1.557135110320114890e+01
-9.599999999999999645e-01 1.488869045356817722e+01
-9.199999999999999289e-01 1.500709005306847033e+01
-8.799999999999998934e-01 1.592102522809146947e+01
-8.400000000000000799e-01 1.786692130391139344e+01
-8.000000000000000444e-01 1.921864573349980887e+01
-7.600000000000000089e-01 1.817612746370813426e+01
-7.199999999999999734e-01 1.583479288854313083e+01
-6.799999999999999378e-01 1.403389459246179349e+01
-6.399999999999999023e-01 1.309360030165678168e+01
-5.999999999999998668e-01 1.292181124513775003e+01
-5.600000000000000533e-01 1.366863357460756845e+01
-5.200000000000000178e-01 1.612797468740373930e+01
-4.799999999999999822e-01 2.173448064760684773e+01
-4.399999999999999467e-01 2.184806093785595849e+01
-3.999999999999999112e-01 1.106408316463711294e+01
-3.599999999999998757e-01 8.024322097887910843e+00
-3.200000000000000622e-01 8.349711792553478062e+00
-2.800000000000000266e-01 8.132988132329879605e+00
-2.399999999999999911e-01 8.065193467354614398e+00
-1.999999999999999556e-01 8.087674297978544757e+00
-1.599999999999999201e-01 8.119483135760900083e+00
-1.199999999999998845e-01 8.186010313130717364e+00
-8.000000000000007105e-02 8.415752315731856115e+00
-4.000000000000003553e-02 8.189567137836714750e+00
0.000000000000000000e+00 8.998055613926878138e+00
4.000000000000003553e-02 8.295441357712808994e+00
8.000000000000007105e-02 8.254732280422727442e+00
1.200000000000001066e-01 8.166889988184035332e+00
1.600000000000001421e-01 1.062838329578436891e+01
2.000000000000001776e-01 8.341602024492374312e+00
2.400000000000002132e-01 9.445752702816278656e+00
2.800000000000002487e-01 1.719912340239554638e+01
3.199999999999998401e-01 9.001857644535911973e+00
3.599999999999998757e-01 2.538857528319406498e+01
3.999999999999999112e-01 6.492554003740173130e+01
4.399999999999999467e-01 2.346521123895534089e+01
4.799999999999999822e-01 2.714820157792969013e+01
5.200000000000000178e-01 3.577992036276600629e+01
5.600000000000000533e-01 2.033978412041376416e+01
6.000000000000000888e-01 1.395840507534401240e+02
6.400000000000001243e-01 4.392164071650427104e+01
6.800000000000001599e-01 3.488783939236652287e+01
7.200000000000001954e-01 5.155973019246601297e+01
7.600000000000002309e-01 3.844992923368641868e+01
8.000000000000002665e-01 5.193461891224730920e+01
8.399999999999998579e-01 3.839357528555535026e+01
8.799999999999998934e-01 3.698549177537097421e+01
9.199999999999999289e-01 3.276377347787234839e+01
9.599999999999999645e-01 3.451773801189192881e+01
1.000000000000000000e+00 3.238310193077420962e+01
1.040000000000000036e+00 3.223810582814627423e+01
1.080000000000000071e+00 3.090956289690334202e+01
1.120000000000000107e+00 3.011463903079073745e+01
1.160000000000000142e+00 2.721064164851675926e+01
1.200000000000000178e+00 2.551381597174845695e+01
1.240000000000000213e+00 2.745384041144944476e+01
1.280000000000000249e+00 3.206975634846298817e+01
1.320000000000000284e+00 1.009938994126080587e+02
1.359999999999999876e+00 3.264510229822695919e+01
1.399999999999999911e+00 2.665259699233024904e+01
1.439999999999999947e+00 2.417788146193547760e+01
1.479999999999999982e+00 2.366906686169568275e+01
1.520000000000000018e+00 2.476751731143714252e+01
1.560000000000000053e+00 2.671787922584935870e+01
1.600000000000000089e+00 2.576361803080522606e+01
1.640000000000000124e+00 2.701338495641472193e+01
1.680000000000000160e+00 2.847743784453757954e+01
1.720000000000000195e+00 3.086810990348699235e+01
1.760000000000000231e+00 2.811609200703233924e+01
1.800000000000000266e+00 2.501918983019330867e+01
1.839999999999999858e+00 2.386275931173299369e+01
1.879999999999999893e+00 2.296325442172089737e+01
1.919999999999999929e+00 2.146930634397360294e+01
1.959999999999999964e+00 1.988863519417912684e+01
2.000000000000000000e+00 1.906764881396559019e+01
